lp,doc_id,title,date,grosse_anfrage,kleine_anfrage,cap_topic,cap_subtopic
8,08/251,Kulturelle Beziehungen zwischen der Bundesrepublik Deutschland und der DDR,1977-03-31,0,1,25,2599
8,08/280,Fachtagung 1977 des Bundesinstituts fuer Berufsbildung,1977-04-13,0,1,5,506
8,08/326,Asylverfahren,1977-04-27,0,1,2,230
8,08/343,Drosselung von Touristenreisen in die Baltischen Staaten seitens der sowjetischen Behoerden und Verbot einer deutschen Ausstellung in Litauen,1977-05-04,0,1,19,1908
8,08/344,Sperrguthabenvereinbarung und Vereinbarung ueber den Transfer von Unterhaltszahlungen mit der DDR vom 25. April 1974,1977-05-04,0,1,25,2502
8,08/345,Entwicklungspolitik,1977-05-04,1,0,19,1901
8,08/346,Umfang und Kosten der Beirats- und Gutachtertaetigkeit,1977-05-04,0,1,20,2002
8,08/358,Massnahmen zum Schallschutz an Strassen,1977-05-06,0,1,7,705
8,08/430,Numerus clausus und Lehrverpflichtungen an deutschen Hochschulen,1977-05-11,0,1,6,601
8,08/438,Berufsaussichten junger Juristen,1977-05-12,0,1,5,500
8,08/459,"Haushaltsmittel fuer die Gemeinschaftsaufgabe ""Verbesserung der regionalen Wirtschaftsstruktur""",1977-05-18,0,1,1,108
8,08/460,Verwendung von Haushaltsresten fuer Strassenbaumassnahmen in Nordrhein-Westfalen,1977-05-18,0,1,10,1002
8,08/475,Gesundheitsschaedliche Auswirkungen des Zigarettenrauchens,1977-05-25,0,1,3,341
8,08/476,Moeglichkeit der Unterstuetzung mittelstaendischer Betriebe bei Exportgeschaeften,1977-05-25,0,1,18,1803
8,08/477,Schwerbehindertengesetz,1977-05-25,0,1,2,205
8,08/478,Langfristige Bevoelkerungsentwicklung,1977-05-25,0,1,1,100
8,08/487,Aufsichtsrat der Deutschen Lufthansa,1977-05-27,0,1,15,1520
8,08/529,Gutachten der Monopolkommission zur Pressekonzentration,1977-06-02,0,1,15,1520
8,08/537,Asylverfahren,1977-06-02,0,1,2,230
8,08/585,Paketdienst der Deutschen Bundespost,1977-06-15,0,1,20,2003
8,08/594,Auswirkungen der verkehrswirtschaftlichen Konkurrenz der Staaten des RGW (Comecon) auf die Verkehrswirtschaft der Bundesrepublik Deutschland,1977-06-15,0,1,18,1806
8,08/609,Regelungen des Gesetzes zum Schutz gegen Fluglaerm,1977-06-16,0,1,7,705
8,08/610,Geschaeftsordnung der Bundesministerien,1977-06-16,0,1,20,2011
8,08/648,Fachhochschulen fuer den oeffentlichen Dienst,1977-06-21,0,1,20,2004
8,08/649,Gesetz zur Foerderung von Wohnungseigentum und Wohnbesitz im sozialen Wohnungsbau vom 23. Maerz 1976 hier: Wohnbesitzbrief,1977-06-21,0,1,14,1406
8,08/650,Schadensersatz bei Verletzung oder Toetung des mitarbeitenden Ehegatten nach dem Ersten Eherechtsreformgesetz,1977-06-21,0,1,12,1208
8,08/681,Vereinigte Deutsche Studentenschaften (VDS),1977-06-24,0,1,2,209
8,08/684,Foerderung des Politischen Arbeitskreises Schulen,1977-06-27,0,1,13,1305
8,08/685,Mitwirkung der Bundesrepublik Deutschland in den Vereinten Nationen,1977-06-27,1,0,19,1926
8,08/694,Fachzeitschriften und Fachpresse,1977-06-28,0,1,17,1700
8,08/695,Durchsetzung der Berlin-Klausel im Kapitalhilfeabkommen mit Entwicklungslaendern,1977-06-28,0,1,19,1901
8,08/718,Agrarbericht 1977,1977-07-05,0,1,4,499
8,08/728,Abbau des Sozialtarifs fuer Fahrten erholungsbeduerftiger Kinder mit der Deutschen Bundesbahn,1977-07-06,0,1,13,1308
8,08/745,Gutachten der Kommission fuer wirtschaftlichen und sozialen Wandel,1977-07-10,0,1,20,2002
8,08/750,Zehntes Schuljahr,1977-07-13,0,1,6,604
8,08/751,Alkohol- und Drogenmissbrauch und Kriminalitaet von Kindern und Jugendlichen,1977-07-14,1,0,3,300
8,08/757,Leistungsauftrag der Bundesregierung an die Deutsche Bundesbahn,1977-07-15,0,1,10,1005
8,08/770,Berufsaussichten junger Hochschulabsolventen,1977-07-21,0,1,5,500
8,08/772,Energiespeicherung,1977-07-22,0,1,8,800
8,08/776,Kinderunfaelle in der Bundesrepublik Deutschland,1977-07-25,0,1,13,1308
8,08/782,"aenderung des § 53 der Strafprozessordnung - Zeugnisverweigerungsrecht fuer Sozialarbeiter, Sozialpaedagogen und Psychologen",1977-07-26,0,1,12,1204
8,08/784,Agrarstrukturpolitik der Bundesregierung,1977-07-27,0,1,4,402
8,08/785,Erholungsfuersorge nach dem Bundesversorgungsgesetz,1977-07-27,0,1,16,1619
8,08/790,"""Fahrplan"" fuer den Bundeshaushaltsplan 1978",1977-07-27,0,1,1,105
8,08/787,Wirtschaftliche Situation der kuenstlerischen Berufe,1977-07-28,0,1,5,500
8,08/789,Verschuldung der Entwicklungslaender und der Staaten des Ostblocks (Comecon-Staaten) bei den westlichen Industrielaendern,1977-07-28,0,1,19,1906
8,08/802,Saeuglings- und Muettersterblichkeit in der Bundesrepublik Deutschland,1977-08-04,0,1,3,332
8,08/808,Kuerzungen der Mittel zur Pflege kultureller Beziehungen zum Ausland im Haushalt 1977 hier: Hochschulferienkurs- und Feriensprachkursstipendien des Deutschen Akademischen Austauschdienstes (DAAD),1977-08-09,0,1,6,601
8,08/823,"Folgerungen aus der Entscheidung des Bundesverfassungsgerichts ueber die Dienstbezuege kinderreicher Beamten, Richter und Soldaten",1977-08-15,0,1,20,2004
8,08/824,Finanzielle Auswirkungen der verschlechterten Arbeitsmarkt- und Konjunkturentwicklung,1977-08-15,0,1,1,105
8,08/825,Unterrichtung des Parlaments ueber Untersuchungen zu den Weltenergievorraeten und den Weltenergiemaerkten,1977-08-15,0,1,19,1902
8,08/829,Anteil der Energietraeger am Endenergieverbrauch,1977-08-16,0,1,8,800
8,08/835,Folgerungen aus dem Urteil des Bundesverfassungsgerichts vom 25.Mai 1977 betr Ausuebung des Notbewilligungsrechts durch den damaligen Finanzminister Helmut Schmidt,1977-08-18,0,1,1,105
8,08/865,Energieketten (Darstellungen des Nutzungsgrades der Primaerenergien),1977-08-31,0,1,8,800
8,08/872,aeusserungen des Bundesministers fuer Forschung und Technologie zur friedlichen Nutzung der Kernenergie und Fortschreibung des Energieprogramms durch die Bundesregierung,1977-09-02,1,0,8,801
8,08/880,Risiken bei der Neukombination von Genen,1977-09-07,0,1,17,1798
8,08/903,Baugenehmigungsverfahren,1977-09-14,0,1,14,1400
8,08/920,Einfuehrung von Verbandsklagen vor den Verwaltungsgerichten,1977-09-21,0,1,12,1204
8,08/941,"Fachtagung '77 des Bundesinstituts fuer Berufsbildung, Tagungsbereich 6",1977-09-28,0,1,6,604
8,08/942,Rechtsextreme Gruppen in der Bundesrepublik Deutschland,1977-09-28,0,1,2,209
8,08/946,Neue Technologien fuer Steinkohlekraftwerke,1977-09-29,0,1,8,898
8,08/952,Umsetzung der gesundheitlichen Aufklaerung in gesundheitsorientiertes Verhalten,1977-09-29,0,1,3,331
8,08/953,"""Russell-Tribunal ueber die Repression in der Bundesrepublik Deutschland""",1977-09-29,0,1,2,207
8,08/969,Schuldenstand des Bundes,1977-09-30,0,1,1,105
8,08/981,EG-Interventionsregelung fuer Obst,1977-10-05,0,1,4,401
8,08/982,"Sportfoerderung in Afrika, Asien und Lateinamerika",1977-10-05,0,1,19,1901
8,08/1003,Anwendung der §§ 34 und 35 des Bundesbaugesetzes,1977-10-07,0,1,14,1400
8,08/1004,Ergebnis der Sitzung des UNESCO-Sportkomitees,1977-10-10,0,1,19,1926
8,08/1044,Kosten des nachtraeglichen Schallschutzes an Strassen (Laermsanierung),1977-10-19,0,1,7,705
8,08/1068,Fremdenverkehrspolitik,1977-10-21,0,1,15,1524
8,08/1069,Liberalisierung des Sozialwohnungsbestandes und Mobilisierung oeffentlicher Foerderungsmittel,1977-10-21,0,1,14,1406
8,08/1076,Umweltfreundliche Technik,1977-10-24,0,1,7,798
8,08/1093,Versuchsanlage fuer Verkehrstechniken im Donauried,1977-10-26,0,1,10,1098
8,08/1094,Rationelle Energienutzung - Steuerliche Gleichstellung von Dieselmotoren mit Stroemungsmaschinen und Heizkesseln,1977-10-26,0,1,8,807
8,08/1095,"Erleichterungen des Reisevekehrs aus den Mitgliedstaaten des Warschauer Paktes in die anderen europaeischen Laender, insbesondere in die Bundesrepublik Deutschland, auf Grund der Schlussakte von Helsinki vom 1. August 1975",1977-10-26,0,1,19,1908
8,08/1106,Rohstoff-Rueckgewinnungsanlagen,1977-10-27,0,1,7,707
8,08/1111,Behandlung deutscher Studenten in den EG-Laendern,1977-10-28,0,1,6,601
8,08/1115,Bedeutung und Entwicklung des Campingwesens,1977-10-31,0,1,15,1524
8,08/1117,aenderungen der Buchungspraxis im Bundeshaushaltsentwurf 1978 und im Finanzplan fuer die Jahre bis 1981,1977-11-02,0,1,1,105
8,08/1123,Neuorientierung der Wohnungsbaupolitik,1977-11-03,1,0,14,1400
8,08/1127,Situation der deutschen Schulen im Ausland,1977-11-04,0,1,19,1929
8,08/1145,Aufgaben der Bundesregierung im Bereich der Forschungs- und Technologiepolitik,1977-11-09,0,1,17,1700
8,08/1146,Bundesministerium fuer Forschung und Technologie,1977-11-09,0,1,17,1700
8,08/1178,Unterschiedliche Belastung der Importe von Flugzeugen und Flugzeugteilen in den USA und der EG,1977-11-14,0,1,18,1807
8,08/1231,Welttextilabkommen,1977-11-23,0,1,18,1802
8,08/1232,"Verhalten der Deutschen Bundespost in Sachen ""Briefe in die Sowjetunion""",1977-11-23,0,1,20,2003
8,08/1233,Anpassungstermin der Unterhaltshilfe nach dem Lastenausgleichsgesetz,1977-11-23,0,1,16,1619
8,08/1234,"Vorschriften, die zum Bau eines Kernkraftwerkes zu beachten sind, und die ueberpruefung dieser Vorschriften",1977-11-23,0,1,8,801
8,08/1249,Transfer von Unterhaltszahlungen und Guthaben zwischen der Bundesrepublik Deutschland und der DDR,1977-11-24,0,1,25,2502
8,08/1254,Sicherung der Vollausbildung,1977-11-24,0,1,20,2004
8,08/1255,Zur Bildungspolitik,1977-11-24,1,0,6,602
8,08/1264,Unterhaltspflicht der Eltern und Bundesausbildungsfoerderungsgesetz,1977-11-28,0,1,6,600
8,08/1312,Die menschenrechtliche Lage in Deutschland und der Deutschen in Osteuropa und ihre Eroerterung auf dem KSZE-ueberpruefungstreffen in Belgrad,1977-12-07,1,0,19,1925
8,08/1337,Foerderung von Existenzgruendungen,1977-12-14,0,1,15,1521
8,08/1338,Zu den Folgevereinbarungen gemaess Artikel 7 des Grundlagenvertrages,1977-12-14,1,0,25,2501
8,08/1344,Veroeffentlichung von Vorgaengen aus dem Bundesamt fuer Verfassungsschutz,1977-12-15,0,1,2,207
8,08/1356,Sozialtarife der Deutschen Bundesbahn im Schienenpersonenfernverkehr,1977-12-16,0,1,10,1005
8,08/1360,Weiterentwicklung der beruflichen Grundbildung und aenderung der Anrechnungsverordnung,1977-12-20,0,1,6,604
8,08/1391,Behinderung der Importe von Schiffen und Schiffsmaterialien aus der EG in die USA,1977-12-20,0,1,18,1807
8,08/1392,Gewinne bzw. Kostenueberschuesse der Deutschen Bundespost aus den Fernmeldediensten,1977-12-21,0,1,20,2003
8,08/1397,Sektorale Strukturpolitik,1977-12-23,1,0,1,108
8,08/1429,Gesundheitsschaedliche Auswirkungen selbstgedrehter Zigaretten,1978-01-18,0,1,3,341
8,08/1438,Ausbau der Kapazitaeten im Studienfach Zahnmedizin,1978-01-20,0,1,3,325
8,08/1439,Gemeinsame Erklaerung der sozialdemokratischen und liberalen Kultus- und Wissenschaftsminister des Bundes und der Laender zum Wintersemester 1977/1978,1978-01-20,0,1,6,600
8,08/1465,Konzept fuer das polizeiliche Informations- und Auskunftssystem,1978-01-25,0,1,12,1209
8,08/1467,Krise der oberpfaelzischen Stahlindustrie,1978-01-25,0,1,1,108
8,08/1484,Handelsfoerderung fuer Entwicklungslaender durch die Europaeische Gemeinschaft,1978-01-30,0,1,19,1901
8,08/1486,"Komitee fuer Frieden, Abruestung und Zusammenarbeit (KFAZ)",1978-01-31,0,1,2,209
8,08/1496,Zahlungen an die DDR und die anderen Ostblockstaaten sowie Warenaustausch mit der DDR und den anderen Ostblockstaaten in den Jahren 1970 bis 1977 einschliesslich,1978-02-09,0,1,19,1906
8,08/1498,Unterwanderung politischer und gesellschaftlicher Organisationen durch die Buendnispolitik der orthodoxen Kommunisten in der Bundesrepublik Deutschland,1978-02-10,0,1,2,209
8,08/1519,ueberpruefung des Jugendarbeitsschutzgesetzes im Hinblick auf die in der Anwendungspraxis aufgetretenen Probleme,1978-02-16,0,1,5,506
8,08/1520,Finanzhilfen aus den Europaeischen Ausrichtungs- und Garantiefonds Landwirtschaft (EAGFL) fuer den landwirtschaftlichen Wegebau und den Forstwegebau im Nichtstaatswald,1978-02-16,0,1,4,402
8,08/1521,Vertragswidrige Kontrollen und Behinderungen auf den Transitstrecken von und nach Berlin,1978-02-16,0,1,25,2501
8,08/1522,"Verhalten von Personen, die terroristischer Gewalttaten verdaechtigt oder deswegen verurteilt wurden, nach ihrer Haftentlassung",1978-02-16,0,1,12,1200
8,08/1523,"Faktenbericht 1977 zum Bundesbericht Forschung hier: Regionale Verteilung der Zuwendungen des Bundesministeriums fuer Forschung und Technologie (BMFT) an Unternehmen der Wirtschaft 1974 bis 1976 (Drucksache 8/1116, S.183 ff)",1978-02-16,0,1,17,1700
8,08/1541,Lage der Behinderten und Weiterentwicklung der Rehabilitation,1978-02-17,1,0,2,205
8,08/1538,"Folgerungen aus der Entscheidung des Bundesverfassungsgerichts ueber die Dienstbezuege kinderreicher Beamten, Richter und Soldaten",1978-02-20,0,1,20,2004
8,08/1539,"Forschung, Entwicklung und Innovation im Bereich der Kohle",1978-02-20,0,1,8,898
8,08/1540,Weltraumforschung und Weltraumtechnik,1978-02-20,0,1,17,1701
8,08/1548,Anerkennung der Gemeinnuetzigkeit von Organisationen mit verfassungsfeindlicher Zielsetzung,1978-02-22,0,1,2,209
8,08/1566,"Einsatz des Instruments ""Genossenschaft"" bei Projekten, die mit Mitteln der Entwicklungshilfe finanziert werden",1978-02-24,0,1,19,1901
8,08/1568,Regionale Strompreisdisparitaeten,1978-03-02,0,1,8,800
8,08/1571,Beeintraechtigung der menschlichen Atmosphaere im Krankenhaus,1978-03-02,0,1,3,322
8,08/1592,Faelschungssichere Personalausweise,1978-03-08,0,1,2,299
8,08/1593,Bekaempfung von Krankenhausinfektionen in der Bundesrepublik Deutschland,1978-03-08,0,1,3,322
8,08/1622,Russell-Tribunal ueber die Repressionen in der Bundesrepublik Deutschland,1978-03-13,0,1,2,209
8,08/1623,Bundesgrenzschutz,1978-03-13,0,1,12,1201
8,08/1628,Veroeffentlichung von Vorgaengen aus dem Bundesamt fuer Verfassungsschutz,1978-03-14,0,1,2,207
8,08/1648,Behinderung der Importe von Bohrtuermen und anderen Offshore-Grossanlagen in Erdoel- und Erdgasfoerderstaaten,1978-03-17,0,1,18,1807
8,08/1649,Aussenwirtschaftsprobleme der DDR,1978-03-17,0,1,18,1800
8,08/1650,Sanierung der Haushalte der Gebietskoerperschaften,1978-03-20,0,1,1,105
8,08/1681,Rohstoffpolitik der Bundesregierung,1978-04-04,1,0,19,1902
8,08/1696,Hoechstmengenverordnung Pflanzenbehandlungsmittel,1978-04-12,0,1,4,400
8,08/1701,Entwicklung der Ausgaben und Einnahmen des Staates im Verhaeltnis zum Bruttosozialprodukt,1978-04-12,0,1,1,105
8,08/1706,Kuestensicherheit und Tankerunfaelle,1978-04-14,0,1,7,710
8,08/1709,Ausbau Europaeischer Schulen,1978-04-14,0,1,6,602
8,08/1718,11. Weltjugendfestspiele in Kuba 1978,1978-04-19,0,1,19,1900
8,08/1725,aenderung der Luftverkehrs-Zulassungs-Ordnung (LVZO),1978-04-20,0,1,10,1003
8,08/1730,Situation der asiatischen Krankenschwestern,1978-04-21,0,1,5,529
8,08/1745,"Auswirkungen der Abgabenordnung 1977, der Koerperschaftssteuerreform und des Gemeinnuetzigkeitsrechts fuer den Amateursport",1978-04-25,0,1,13,1305
8,08/1746,"Dienstaufsichtsbeschwerde der ""Aktion Billiges Telefon""",1978-04-26,0,1,17,1706
8,08/1747,Fischereipolitik,1978-04-26,0,1,19,1902
8,08/1756,Ursachen und wirtschaftliche sowie arbeitsmarktpolitische Auswirkungen der bisherigen Verhinderung der Einfuehrung neuer Kommunikationstechniken,1978-04-27,0,1,17,1706
8,08/1757,"Foerderung eines Forschungsprojektes, ""Arbeits- und Lebensbedingungen der Arbeitnehmer als Gegenstand der Hochschulforschung"" an der Universitaet Bielefeld",1978-04-27,0,1,17,1798
8,08/1770,Politisch motivierte Gewalttaten jugoslawischer Staatsangehoeriger in der Bundesrepublik Deutschland,1978-05-03,0,1,2,201
8,08/1838,Beziehungen auf dem Gebiete des Rechts mit Japan,1978-05-31,0,1,19,1919
8,08/1853,Genehmigungsverfahren fuer Schnelle Brutreaktoren,1978-06-02,0,1,8,801
8,08/1883,Langfristige Sicherung des Generationenvertrages in der Alterssicherung im Zusammenhang mit der Geburtenentwicklung,1978-06-07,0,1,13,1303
8,08/1884,Foerderung von Muettergenesungskuren aus oeffentlichen Mitteln,1978-06-07,0,1,3,336
8,08/1898,Parlamentarische Staatssekretaere und Beamte in Vorstaenden von Beteiligungsgesellschaften des Bundes,1978-06-09,0,1,20,2002
8,08/1914,Kompensationsgeschaefte im Osthandel,1978-06-14,0,1,18,1800
8,08/1915,Deutsche Gesellschaft fuer Friedens- und Konfliktforschung (DGFK),1978-06-14,0,1,17,1798
8,08/1949,Staedtebaupolitik,1978-06-21,1,0,14,1403
8,08/1964,Lage des Hotel- und Gaststaettengewerbes,1978-06-28,0,1,15,1500
8,08/1965,Internationale Zusammenarbeit bei Forschung und Entwicklung im Energiebereich,1978-06-29,0,1,17,1705
8,08/1974,Risiken bei Unfaellen mit Raumflugkoerpern und Moeglichkeiten der Gefahrenabwehr,1978-07-05,0,1,17,1701
8,08/1976,oesterreichischer Strassenverkehrsbeitrag,1978-07-06,0,1,15,1500
8,08/1978,Verbraucherpolitik in Europa,1978-07-07,0,1,15,1525
8,08/1983,Satellitenrundfunk und Kommunikationssatelliten,1978-07-10,0,1,17,1704
8,08/1986,Berufsvorbereitende Massnahmen nach dem Arbeitsfoerderungsgesetz fuer noch nicht berufsreife Jugendliche,1978-07-10,0,1,5,506
8,08/1990,"Fortschreibung der Angaben zur Entwicklung der Besoldungs-, Verguetungs- und Versorgungsausgaben im oeffentlichen Dienst",1978-07-12,0,1,20,2004
8,08/1992,Forschungs- und Entwicklungsmassnahmen fuer den Bereich Stahl und Eisen,1978-07-14,0,1,17,1798
8,08/1994,Foerderung politischer Bildungsarbeit durch die Bundesregierung,1978-07-14,0,1,6,607
8,08/2003,Chancen und Grenzen der Nutzung der Solarenergie in der Bundesrepublik Deutschland,1978-07-21,0,1,8,806
8,08/2015,Studienreform,1978-07-27,0,1,6,601
8,08/2018,Verstromung deutscher Steinkohle,1978-07-28,0,1,8,805
8,08/2020,Deutsch-polnischer Jugendaustausch,1978-07-31,0,1,19,1908
8,08/2023,"""Raumordnungsprognose 1990""",1978-08-01,0,1,14,1400
8,08/2028,Versorgungslage in laendlichen Raeumen,1978-08-02,0,1,14,1405
8,08/2029,Europaeisches Waehrungssystem,1978-08-02,0,1,1,104
8,08/2031,Lebenssituation aelterer Menschen in der Bundesrepublik Deutschland,1978-08-03,1,0,13,1303
8,08/2037,Militaerische Bedeutung der Kampfgruppen der DDR fuer den Warschauer Pakt,1978-08-08,0,1,16,1602
8,08/2038,Westarbeit der SED,1978-08-08,0,1,2,209
8,08/2040,Rechtsextremismus,1978-08-11,0,1,2,209
8,08/2041,Zusammenarbeit auf den Gebieten von Forschung und Technologie mit den Staaten der Dritten Welt,1978-08-14,0,1,17,1705
8,08/2044,Sondergutachten des Sachverstaendigenrates vom 19. Juni 1978,1978-08-16,0,1,20,2011
8,08/2054,Forschung und Entwicklung zur Humanisierung des Arbeitslebens im deutschen Steinkohlenbergbau und in der metallverarbeitenden Industrie,1978-08-18,0,1,5,505
8,08/2057,Einfuehrung eines zehnten Pflichtschuljahrs in Berlin,1978-08-21,0,1,6,604
8,08/2063,Ratifizierung europaeischer Abkommen und Konventionen,1978-08-24,0,1,19,1926
8,08/2066,Hilfen nach dem Kriegsgefangenenentschaedigungsgesetz,1978-08-28,0,1,16,1619
8,08/2071,Forschung und Entwicklung auf dem Gebiet der Datenverarbeitung und der elektronischen Bauelemente,1978-09-01,0,1,17,1709
8,08/2072,Beratungswesen und Unterstuetzung durch Projekttraeger und Projektbegleiter,1978-09-01,0,1,20,2002
8,08/2093,World Administration Radio Conference (WARC) 1979,1978-09-12,0,1,17,1706
8,08/2111,Verletzung von Dienstgeheimnissen,1978-09-20,0,1,12,1210
8,08/2125,Kraftstoffverbrauch der PKWs,1978-09-25,0,1,10,1002
8,08/2126,Wiederverwertung von Quecksilber,1978-09-25,0,1,7,707
8,08/2127,Energie und Atmosphaere,1978-09-25,0,1,7,705
8,08/2128,Laermgrenzen fuer Zivilluftfahrt,1978-09-25,0,1,7,705
8,08/2139,Eingriff des Geheimdienstes der Volksrepublik Ungarn in die inneren Angelegenheiten der Bundesrepublik Deutschland (Fall Schellhorn),1978-09-28,0,1,16,1603
8,08/2140,Anrechnung von Studiensemestern vor Ableistung des Wehrdienstes auf die Ausbildungsfoerderungszeit,1978-09-28,0,1,6,601
8,08/2159,Autobahnverbindung Berlin/Norddeutschland,1978-10-04,0,1,10,1002
8,08/2165,ueberpruefung und Anpassung der oeffentlichen Buergschaften zur Foerderung des Wohnungsbaus,1978-10-05,0,1,14,1400
8,08/2168,Namibia,1978-10-06,1,0,19,1911
8,08/2175,Verwirklichung des Ergaenzungsplans musisch-kulturelle Bildung zum Bildungsgesamtplan der Bund-Laender-Kommission fuer Bildungsplanung und Forschungsfoerderung hier: Musik,1978-10-10,0,1,6,600
8,08/2182,Wegekostengutachten des Deutschen Instituts fuer Wirtschaftsforschung im Auftrag des Bundesministers fuer Verkehr,1978-10-12,0,1,10,1000
8,08/2194,Tierversuche,1978-10-18,0,1,7,709
8,08/2195,Zur Politik der Friedenssicherung durch Verteidigung und Entspannung und zum Stand der Bemuehungen um Abruestung und Ruestungskontrolle,1978-10-18,1,0,16,1600
8,08/2225,Waffenrecht und Waffendiebstaehle,1978-10-19,0,1,12,1209
8,08/2226,Eigentumsbildung im Sozialwohnungsbestand,1978-10-19,0,1,14,1406
8,08/2227,Probleme der Gemeinnuetzigkeit von Sportvereinen und -verbaenden durch Eingriffe der Finanzverwaltung in die Sportautonomie,1978-10-19,0,1,13,1305
8,08/2268,Rechtsextremismus,1978-11-09,0,1,2,209
8,08/2280,"Haftung der Mitglieder der ""Transparenz-Kommission""",1978-11-10,0,1,3,321
8,08/2289,Erfahrungen mit dem am 12. Mai 1976 in Kraft getretenen Gesetz ueber die Entschaedigung fuer Opfer von Gewalttaten,1978-11-15,0,1,12,1299
8,08/2296,Seeverkehr mit Argentinien,1978-11-16,0,1,10,1007
8,08/2297,"""Weltjugendfestspiele 1978"" in Kuba",1978-11-16,0,1,19,1900
8,08/2302,Schnell-Brueter-Kraftwerk SNR 300 bei Kalkar,1978-11-16,0,1,8,801
8,08/2305,Fernhaltung von Verfassungsfeinden aus dem oeffentlichen Dienst,1978-11-17,1,0,2,209
8,08/2312,"Erhaltung und Festigung des Friedens durch Sicherheit, Ruestungskontrolle, Abruestung und den Abbau der politischen Spannungsursachen",1978-11-23,1,0,16,1605
8,08/2342,Personelle Hilfe in Entwicklungslaendern,1978-12-01,0,1,19,1901
8,08/2351,Eignungsvoraussetzungen fuer die Beschaeftigung im oeffentlichen Dienst,1978-12-06,1,0,20,2004
8,08/2358,"Verwertungsgesellschaft ""Bild-Kunst"" nach § 26 des Urheberrechtsgesetzes",1978-12-07,0,1,15,1522
8,08/2367,Besteuerung gemeindlicher Einrichtungen nach den Koerperschaftsteuerrichtlinien 1977,1978-12-08,0,1,1,107
8,08/2368,Confoederation Iranischer Studenten - National Union,1978-12-08,0,1,2,207
8,08/2383,Aufnahme von nationalsozialistischem Propagandamaterial in die Liste der jugengefaehrdenden Schriften,1978-12-13,0,1,2,207
8,08/2393,"Schreiben des stellvertretenden Vorsitzenden des Verwaltungsrats der Deutschen Bundesbahn, H.-G. Sohl, vom 10. November 1978 an den Bundeskanzler und Antwortschreiben des Bundesverkehrsministers vom 20. November 1978",1978-12-14,0,1,10,1005
